timeSec,rawMm,filteredMm,baselineMm,deflectionCm,confidence,status
9.925094842910767,-0.0330197386917348,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.009736776351929,-0.0076020492745101365,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.0918288230896,-0.022987277171779397,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.156970977783203,-0.08614060838371529,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.223326921463013,0.2630456884105854,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.29334807395935,0.29035526549782276,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.358118057250977,0.2919844604014088,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.42576289176941,-0.21429493876831884,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.488744735717773,0.2449780949656315,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.557382106781006,0.2615121373316356,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.625943899154663,0.2586568264017899,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.69043493270874,0.25342047908833365,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.75681185722351,0.048557283480988644,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.85657787322998,0.0963542136996125,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.926100969314575,0.2587284555825704,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
10.9910409450531,0.2699024429975623,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
11.055336952209473,0.2799523044032526,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
