sampleId,weightG,standardDeflectionMm,collecting,measurementMethod,detectStatus,usedPointCount,rmsePx,inlierRatio,staticAxisSource,staticPlaneTiltDeg,staticRollDeg,staticPoseRmsePx,quality,timeSec,rawMm,unscaledRawMm,filteredMm,baselineMm,deflectionCm,confidence,status,measurementPositionPx,measurementPxPerMm
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17285117506980896,1.0,pose,5.310845607790557,1.752974324228854,0.2650424540042877,0.9005542428046465,12.013660192489592,14.236745055375678,14.236745055375678,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.7914428710938,1.8249281916263709
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17615967988967896,1.0,pose,5.287059221448705,1.7561856158175784,0.2731016278266907,0.9001820360124111,12.046993525822925,14.233944013587593,14.233944013587593,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.7863159179688,1.825195656888783
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.1871110200881958,1.0,pose,5.300899605815706,1.7537612264005962,0.28722453117370605,0.8989500102400779,12.080326859156258,14.219505310084722,14.219505310084722,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.7598876953125,1.8245485700604145
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.18737652897834778,1.0,pose,5.275320745492361,1.7550813697198573,0.29279738664627075,0.8989201404899358,12.113660192489592,14.253984800666634,14.253984800666634,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.822998046875,1.8269505770332282
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.18019483983516693,1.0,pose,5.260354433825366,1.7590480952780652,0.28383511304855347,0.8997280805185437,12.146993525822925,14.246882158989703,14.246882158989703,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.8099975585938,1.826098374724799
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17382511496543884,1.0,pose,5.343603329150347,1.7327019679072744,0.26746469736099243,0.9004446745663881,12.180326859156258,14.231543120626375,14.231543120626375,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.7819213867188,1.8259199854006642
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.1742676943540573,1.0,pose,5.283905959270091,1.7558247519096626,0.27065184712409973,0.9003948843851685,12.213660192489591,14.277793655865361,14.277793655865361,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.8665771484375,1.8250498436593035
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.16789460182189941,1.0,pose,5.31802191608554,1.7525156444573593,0.2604130208492279,0.9011118572950363,12.246993525822925,14.251383833291982,14.251383833291982,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.8182373046875,1.8245776195799095
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.16734546422958374,1.0,pose,5.31100112616968,1.752329293304949,0.25887343287467957,0.9011736352741718,12.280326859156258,14.242413830422993,14.242413830422993,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.8018188476562,1.8247014475785697
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17632713913917542,1.0,pose,5.3335550639174425,1.7609754013123216,0.26764097809791565,0.9001631968468428,12.313660192489591,14.233010332991563,14.233010332991563,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.7846069335938,1.8246735054336005
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.1739901751279831,1.0,pose,5.318106134239533,1.7553232989127387,0.26601293683052063,0.9004261052981019,12.346993525822924,14.231509774890803,14.231509774890803,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.7818603515625,1.8247697189188192
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17446504533290863,1.0,pose,5.30943303132448,1.7517283155874297,0.2682233452796936,0.9003726824000478,12.380326859156257,14.231909923717673,14.231909923717673,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.7825927734375,1.8246539781925715
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17757633328437805,1.0,pose,5.324918105401648,1.74415903719551,0.2733492851257324,0.9000226625055074,12.41366019248959,14.225807654107914,14.225807654107914,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.7714233398438,1.8241840216889067
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.16991180181503296,1.0,pose,5.293641950172924,1.7541613455314977,0.26227855682373047,0.9008849222958087,12.446993525822924,14.227408249415392,14.227408249415392,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.7743530273438,1.8253578577962155
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17637646198272705,1.0,pose,5.304672470335318,1.748342728960268,0.2725420296192169,0.9001576480269432,12.480326859156257,14.321709989614277,14.321709989614277,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.9469604492188,1.826036363788344
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.1640491783618927,1.0,pose,5.255553150320258,1.7510910717207695,0.2552034854888916,0.9015444674342871,12.51366019248959,14.238345650683156,14.238345650683156,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.7943725585938,1.8250900273325932
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17221353948116302,1.0,pose,5.2901071301586455,1.7529816845804436,0.26684704422950745,0.9006259768083692,12.546993525822923,14.254151529344496,14.254151529344496,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.8233032226562,1.825097015978145
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.19303512573242188,1.0,pose,5.317547474830425,1.752311159099128,0.30289360880851746,0.8982835483551025,12.580326859156257,14.314640693672917,14.314640693672917,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.9340209960938,1.825413308204747
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.1941448152065277,1.0,pose,5.30497007159322,1.7561598012962143,0.3046424984931946,0.8981587082892656,12.61366019248959,14.327578839075027,14.327578839075027,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.9577026367188,1.8257807324010367
