sampleId,frameCount,validFrameCount,deflectionMeanMm,deflectionP50Mm,deflectionP05Mm,deflectionP95Mm,deflectionStdMm,deflectionRangeMm,deflectionSlopeMmPerSec,driftMmPerMin,validRate,confidenceMean,qualityMean,weightG,standardDeflectionMm,phoneMinusStandardMm
sample_030_3260.2g,80,80,11.069923835772794,11.066278074820847,11.02750167273677,11.11815492690082,0.027203847334375243,0.12195584737291476,0.0024238043434690656,0.14542826060814393,1.0,0.5999999999999999,0.8958441798179411,3260.2,10.0,1.0699238357727943
sample_029_3308.2g,80,80,11.2279452370523,11.231017589628934,11.188959557109209,11.256938071970076,0.01962218193591488,0.09688770794731028,-0.00011450336442497195,-0.006870201865498317,1.0,0.5999999999999999,0.8967347566527314,3308.2,10.14,1.087945237052299
sample_028_3353.6g,80,80,11.360769952624102,11.359888132619792,11.281310126755871,11.443704010943067,0.04869061022880353,0.19762108463347516,-0.0051288307631642445,-0.3077298457898547,1.0,0.5999999999999999,0.895865605114959,3353.6,10.53,0.8307699526241024
sample_014_3385.8g,29,29,12.981466276256754,12.983296203929903,12.943690746612127,13.009590975943176,0.01906243546029888,0.07261665237380655,0.0023866879968243468,0.14320127980946082,1.0,0.6000000000000001,0.883367471985262,3385.8,14.6,-1.618533723743246
sample_027_3403.3g,80,80,11.46030027921168,11.456784450787278,11.412141147998764,11.509288264659498,0.0278339912250074,0.1061495495848952,0.0021483022524456364,0.12889813514673817,1.0,0.5999999999999999,0.8969930705009027,3403.3,11.23,0.23030027921167928
sample_026_3453g,80,80,11.641877837270881,11.64646519037559,11.580723886243172,11.698422634116401,0.031879398781188756,0.13071691860513468,9.429454106497038e-06,0.0005657672463898223,1.0,0.5999999999999999,0.8970460602641106,3453.0,11.37,0.2718778372708819
sample_025_3517g,80,80,11.716382134867176,11.723587965707337,11.646711098263783,11.7561135890307,0.030446755147525924,0.1187618000968822,0.001450440493931183,0.08702642963587098,1.0,0.5999999999999999,0.8981123341526835,3517.0,11.45,0.2663821348671771
sample_013_3520.1g,30,30,13.145215725804896,13.142841276038872,13.124442567317407,13.176333495975076,0.017284858912439433,0.05472184567070393,0.0007390899924844514,0.044345399549067084,1.0,0.6000000000000001,0.8836759187653661,3520.1,15.1,-1.954784274195104
sample_024_3566.8g,80,80,11.82562979019725,11.829270152541147,11.767907593099043,11.87419903911242,0.030438260067625372,0.1249763126102188,0.0029023072298754605,0.17413843379252764,1.0,0.5999999999999999,0.898099544751458,3566.8,11.6,0.2256297901972495
sample_023_3629.1g,80,80,11.949341795297446,11.951616903909994,11.906675480858148,11.990749080291693,0.025218483784933892,0.13008733930595362,-0.000774765455673164,-0.04648592734038984,1.0,0.5999999999999999,0.8981433963333256,3629.1,11.77,0.17934179529744654
sample_022_3678.9g,80,80,12.123587548537667,12.117755923905285,12.08448348452484,12.175079394622529,0.030819505911703397,0.14022191286045604,-0.0023987951798502545,-0.14392771079101527,1.0,0.5999999999999999,0.8982471399661154,3678.9,11.8,0.3235875485376667
sample_012_3717.8g,30,30,13.58491299982265,13.595420529891026,13.52355154093261,13.616637697556149,0.03306761069760252,0.14906707393886265,0.002052813487122613,0.12316880922735679,1.0,0.6000000000000001,0.8843624263629316,3717.8,15.25,-1.6650870001773495
sample_021_3734g,80,80,12.25288834423066,12.25506344944099,12.219265976892094,12.285330164281065,0.02140660964461052,0.09091290396364116,4.4364251990400007e-05,0.0026618551194240005,1.0,0.5999999999999999,0.8981433027912861,3734.0,11.6,0.6528883442306608
sample_020_3774.9g,80,80,12.32776762337323,12.324260000488657,12.298892363164496,12.36061658629482,0.018285372245027496,0.08357768519235798,0.00196974852241754,0.1181849113450524,1.0,0.5999999999999999,0.8989673326793127,3774.9,11.8,0.5277676233732294
